SampleID	Rawfile_R1	Rawfile_R2
9	sample_9__1.fq.gz	sample_9__2.fq.gz
266	sample_266__1.fq.gz	sample_266__2.fq.gz
222	sample_222__1.fq.gz	sample_222__2.fq.gz
124	sample_124__1.fq.gz	sample_124__2.fq.gz
102	sample_102__1.fq.gz	sample_102__2.fq.gz
78	sample_78__1.fq.gz	sample_78__2.fq.gz
57	sample_57__1.fq.gz	sample_57__2.fq.gz
154	sample_154__1.fq.gz	sample_154__2.fq.gz
281	sample_281__1.fq.gz	sample_281__2.fq.gz
188	sample_188__1.fq.gz	sample_188__2.fq.gz
69	sample_69__1.fq.gz	sample_69__2.fq.gz
267	sample_267__1.fq.gz	sample_267__2.fq.gz
256	sample_256__1.fq.gz	sample_256__2.fq.gz
95	sample_95__1.fq.gz	sample_95__2.fq.gz
71	sample_71__1.fq.gz	sample_71__2.fq.gz
223	sample_223__1.fq.gz	sample_223__2.fq.gz
14	sample_14__1.fq.gz	sample_14__2.fq.gz
259	sample_259__1.fq.gz	sample_259__2.fq.gz
230	sample_230__1.fq.gz	sample_230__2.fq.gz
135	sample_135__1.fq.gz	sample_135__2.fq.gz
64	sample_64__1.fq.gz	sample_64__2.fq.gz
159	sample_159__1.fq.gz	sample_159__2.fq.gz
265	sample_265__1.fq.gz	sample_265__2.fq.gz
111	sample_111__1.fq.gz	sample_111__2.fq.gz
